Timestamp,Value_NE5,Value_NE7
2015-01-02T22:30:00Z,21071.424,48115.153
2015-01-02T22:45:00Z,21285.989,46962.276
2015-01-02T23:00:00Z,21320.836,45561.245
2015-01-02T23:15:00Z,21209.101,44342.798
2015-01-02T23:30:00Z,20847.837,42963.781
2015-01-02T23:45:00Z,20635.181,41660.546
2015-01-03T00:00:00Z,19958.535,40757.401
2015-01-03T00:15:00Z,19768.207,39873.965
2015-01-03T00:30:00Z,19363.904,39130.772
2015-01-03T00:45:00Z,19238.348,38359.252
2015-01-03T01:00:00Z,19232.065,37965.436
2015-01-03T01:15:00Z,18854.984,40599.904
2015-01-03T01:30:00Z,18654.332,40292.848
2015-01-03T01:45:00Z,18547.005,39302.005
2015-01-03T02:00:00Z,18561.140,38353.995
2015-01-03T02:15:00Z,18313.788,37779.043
2015-01-03T02:30:00Z,18276.500,36911.558
2015-01-03T02:45:00Z,18258.843,36483.745
2015-01-03T03:00:00Z,18310.886,36240.045
2015-01-03T03:15:00Z,18499.741,36117.537
2015-01-03T03:30:00Z,18816.067,35823.146
2015-01-03T03:45:00Z,19281.806,35846.116
2015-01-03T04:00:00Z,19305.268,36058.824
2015-01-03T04:15:00Z,20174.506,36547.887
2015-01-03T04:30:00Z,20780.896,36795.236
2015-01-03T04:45:00Z,21066.978,37534.966
2015-01-03T05:00:00Z,21630.628,38224.239
2015-01-03T05:15:00Z,22106.022,38904.623
2015-01-03T05:30:00Z,22197.086,39538.889
2015-01-03T05:45:00Z,22117.860,40251.128
2015-01-03T06:00:00Z,22281.670,41091.493
2015-01-03T06:15:00Z,22922.328,42421.710
2015-01-03T06:30:00Z,23587.112,43558.054
2015-01-03T06:45:00Z,23986.583,44511.118
2015-01-03T07:00:00Z,24378.768,45714.978
2015-01-03T07:15:00Z,24689.192,46968.285
2015-01-03T07:30:00Z,24615.536,47831.639
2015-01-03T07:45:00Z,24439.091,47939.190
2015-01-03T08:00:00Z,24591.752,49304.524
2015-01-03T08:15:00Z,24956.045,50717.585
2015-01-03T08:30:00Z,25134.744,51544.999
2015-01-03T08:45:00Z,25216.786,52653.853
2015-01-03T09:00:00Z,25738.682,53093.542
2015-01-03T09:15:00Z,25994.994,53927.077
2015-01-03T09:30:00Z,26010.782,54544.395
2015-01-03T09:45:00Z,25808.415,55198.537
2015-01-03T10:00:00Z,25700.596,55676.074
2015-01-03T10:15:00Z,25844.436,56164.368
2015-01-03T10:30:00Z,25761.439,56411.760
2015-01-03T10:45:00Z,25665.281,57002.671
2015-01-03T11:00:00Z,25659.938,57422.271
2015-01-03T11:15:00Z,25651.254,57698.332
2015-01-03T11:30:00Z,25587.518,57944.112
2015-01-03T11:45:00Z,25592.243,58464.348
2015-01-03T12:00:00Z,25661.725,58303.474
2015-01-03T12:15:00Z,25800.494,58314.711
2015-01-03T12:30:00Z,25711.010,58153.854
2015-01-03T12:45:00Z,25639.805,57953.572
2015-01-03T13:00:00Z,25614.618,57637.540
2015-01-03T13:15:00Z,26044.982,57740.621
2015-01-03T13:30:00Z,25922.220,57842.957
2015-01-03T13:45:00Z,25767.343,57727.200
2015-01-03T14:00:00Z,25941.047,57715.724
2015-01-03T14:15:00Z,25978.220,57407.959
2015-01-03T14:30:00Z,25945.756,57611.753
2015-01-03T14:45:00Z,25892.303,58451.791
2015-01-03T15:00:00Z,25825.994,58636.850
2015-01-03T15:15:00Z,25989.021,59046.388
2015-01-03T15:30:00Z,26049.703,60037.886
2015-01-03T15:45:00Z,25823.773,61848.067
2015-01-03T16:00:00Z,25394.411,63008.248
2015-01-03T16:15:00Z,25314.367,63970.114
2015-01-03T16:30:00Z,25300.954,64688.046
2015-01-03T16:45:00Z,25252.119,65558.167
2015-01-03T17:00:00Z,25029.175,65983.894
2015-01-03T17:15:00Z,24872.565,66084.316
2015-01-03T17:30:00Z,24905.511,65889.328
2015-01-03T17:45:00Z,24657.162,65710.329
2015-01-03T18:00:00Z,24552.473,65096.204
2015-01-03T18:15:00Z,24424.445,64457.047
2015-01-03T18:30:00Z,24312.104,63991.347
2015-01-03T18:45:00Z,24043.911,63201.613
2015-01-03T19:00:00Z,24123.346,62484.090
2015-01-03T19:15:00Z,23917.376,61169.309
2015-01-03T19:30:00Z,23712.614,59760.016
2015-01-03T19:45:00Z,23199.691,58561.613
2015-01-03T20:00:00Z,22842.977,57403.437
2015-01-03T20:15:00Z,22767.423,56394.278
2015-01-03T20:30:00Z,22535.062,55394.836
2015-01-03T20:45:00Z,22194.124,54136.863
2015-01-03T21:00:00Z,21934.438,53325.836
2015-01-03T21:15:00Z,22130.371,57205.054
2015-01-03T21:30:00Z,21877.753,56166.465
2015-01-03T21:45:00Z,21638.516,54437.935
2015-01-03T22:00:00Z,21539.963,52526.526
2015-01-03T22:15:00Z,21528.966,50361.667
2015-01-03T22:30:00Z,21406.204,48641.244
2015-01-03T22:45:00Z,21422.231,47151.752
2015-01-03T23:00:00Z,21432.592,45520.548
2015-01-03T23:15:00Z,21579.728,44078.228
2015-01-03T23:30:00Z,21474.523,42986.969
2015-01-03T23:45:00Z,20470.648,41744.673
2015-01-04T00:00:00Z,19605.590,40749.179
2015-01-04T00:15:00Z,19048.670,39769.852
2015-01-04T00:30:00Z,18604.153,38970.575
2015-01-04T00:45:00Z,18555.488,38088.564
2015-01-04T01:00:00Z,18538.343,37527.828
2015-01-04T01:15:00Z,18806.710,40128.869
2015-01-04T01:30:00Z,18845.043,39927.466
2015-01-04T01:45:00Z,18508.953,38909.866
2015-01-04T02:00:00Z,18486.826,38014.923
2015-01-04T02:15:00Z,18360.637,37349.201
2015-01-04T02:30:00Z,18149.668,36543.135
2015-01-04T02:45:00Z,18088.451,36135.245
2015-01-04T03:00:00Z,18118.172,35881.077
2015-01-04T03:15:00Z,18023.954,35484.168
2015-01-04T03:30:00Z,18384.191,35136.990
2015-01-04T03:45:00Z,18807.305,35346.441
2015-01-04T04:00:00Z,18857.566,35366.070
2015-01-04T04:15:00Z,19881.460,35774.445
2015-01-04T04:30:00Z,20365.509,35814.365
2015-01-04T04:45:00Z,20520.943,35945.099
2015-01-04T05:00:00Z,20660.360,36375.788
2015-01-04T05:15:00Z,20819.357,36879.807
2015-01-04T05:30:00Z,20905.750,37306.570
2015-01-04T05:45:00Z,20731.362,37768.901
2015-01-04T06:00:00Z,21090.942,38133.495
2015-01-04T06:15:00Z,21487.572,38849.426
2015-01-04T06:30:00Z,21461.276,39408.432
2015-01-04T06:45:00Z,21610.200,39868.920
2015-01-04T07:00:00Z,21634.773,40559.754
2015-01-04T07:15:00Z,21855.707,41468.207
2015-01-04T07:30:00Z,22011.110,41949.270
2015-01-04T07:45:00Z,21825.397,42135.310
2015-01-04T08:00:00Z,21729.870,42820.354
2015-01-04T08:15:00Z,21870.286,43711.883
2015-01-04T08:30:00Z,21864.932,44387.382
2015-01-04T08:45:00Z,21600.791,45231.382
2015-01-04T09:00:00Z,21829.082,46063.222
2015-01-04T09:15:00Z,22263.714,47214.034
2015-01-04T09:30:00Z,22392.868,48112.108
2015-01-04T09:45:00Z,22450.377,49133.937
2015-01-04T10:00:00Z,22472.839,49808.418
2015-01-04T10:15:00Z,22598.161,50489.801
2015-01-04T10:30:00Z,22491.234,50875.027
2015-01-04T10:45:00Z,22466.131,51493.115
2015-01-04T11:00:00Z,22484.000,51933.723
2015-01-04T11:15:00Z,22630.148,52374.424
2015-01-04T11:30:00Z,22351.783,52607.356
2015-01-04T11:45:00Z,22221.837,53292.137
2015-01-04T12:00:00Z,22048.051,53123.692
2015-01-04T12:15:00Z,21974.821,52773.688
2015-01-04T12:30:00Z,22239.525,52711.645
2015-01-04T12:45:00Z,22459.615,52422.050
2015-01-04T13:00:00Z,22447.250,52149.946
2015-01-04T13:15:00Z,22603.264,51917.039
2015-01-04T13:30:00Z,22658.231,51634.308
2015-01-04T13:45:00Z,22511.237,51567.965
2015-01-04T14:00:00Z,22540.912,51750.097
2015-01-04T14:15:00Z,22774.012,52068.692
2015-01-04T14:30:00Z,22880.488,52317.635
2015-01-04T14:45:00Z,22868.728,53264.390
2015-01-04T15:00:00Z,22917.112,53936.499
2015-01-04T15:15:00Z,22961.527,54338.307
2015-01-04T15:30:00Z,22885.792,54729.174
2015-01-04T15:45:00Z,22974.288,56033.520
2015-01-04T16:00:00Z,22863.404,58213.588
2015-01-04T16:15:00Z,23008.879,60055.201
2015-01-04T16:30:00Z,23213.950,61810.947
2015-01-04T16:45:00Z,22888.240,63055.646
2015-01-04T17:00:00Z,22980.844,63990.968
2015-01-04T17:15:00Z,23092.366,64970.426
2015-01-04T17:30:00Z,23101.568,65221.977
2015-01-04T17:45:00Z,22910.616,65127.309
2015-01-04T18:00:00Z,22874.289,64942.216
2015-01-04T18:15:00Z,22781.475,64085.201
2015-01-04T18:30:00Z,22835.874,63429.334
2015-01-04T18:45:00Z,22603.998,62722.771
2015-01-04T19:00:00Z,22509.089,62174.908
2015-01-04T19:15:00Z,22566.500,61056.887
2015-01-04T19:30:00Z,22562.660,60034.330
2015-01-04T19:45:00Z,22457.753,59167.224
2015-01-04T20:00:00Z,22309.803,57921.584
2015-01-04T20:15:00Z,22572.350,56827.764
2015-01-04T20:30:00Z,22479.387,55731.868
2015-01-04T20:45:00Z,22320.051,54686.429
2015-01-04T21:00:00Z,22198.036,53792.373
2015-01-04T21:15:00Z,22619.939,57549.763
2015-01-04T21:30:00Z,22624.241,56190.272
2015-01-04T21:45:00Z,22502.846,54170.279
2015-01-04T22:00:00Z,22165.709,51989.672
2015-01-04T22:15:00Z,21800.275,49819.274
2015-01-04T22:30:00Z,21612.645,47714.444
2015-01-04T22:45:00Z,21876.484,46032.899
2015-01-04T23:00:00Z,21849.580,44442.267
2015-01-04T23:15:00Z,21751.662,42863.091
2015-01-04T23:30:00Z,21700.344,41433.856
2015-01-04T23:45:00Z,21343.728,40294.802
2015-01-05T00:00:00Z,20637.568,39586.117
2015-01-05T00:15:00Z,20108.889,38708.746
2015-01-05T00:30:00Z,19437.027,37902.048
2015-01-05T00:45:00Z,19129.874,37385.567
2015-01-05T01:00:00Z,19273.964,37102.606
2015-01-05T01:15:00Z,19112.193,36846.578
2015-01-05T01:30:00Z,19224.812,36446.260
2015-01-05T01:45:00Z,19194.028,36073.418
2015-01-05T02:00:00Z,19247.527,35706.857
2015-01-05T02:15:00Z,19440.099,35763.794
2015-01-05T02:30:00Z,19512.269,35662.156
2015-01-05T02:45:00Z,19599.613,35666.739
2015-01-05T03:00:00Z,19316.624,35591.837
2015-01-05T03:15:00Z,19512.515,35968.085
2015-01-05T03:30:00Z,19804.790,35942.239
2015-01-05T03:45:00Z,20371.810,36210.160
2015-01-05T04:00:00Z,20566.967,36757.634
2015-01-05T04:15:00Z,21791.201,37714.730
2015-01-05T04:30:00Z,22786.209,38764.991
2015-01-05T04:45:00Z,23436.273,40194.164
2015-01-05T05:00:00Z,25015.162,41932.869
2015-01-05T05:15:00Z,27089.624,44669.283
2015-01-05T05:30:00Z,28597.549,47387.210
2015-01-05T05:45:00Z,29876.222,50524.908
2015-01-05T06:00:00Z,30943.111,53961.901
2015-01-05T06:15:00Z,32214.884,58148.487
2015-01-05T06:30:00Z,32878.437,61283.781
2015-01-05T06:45:00Z,34081.717,64236.807
2015-01-05T07:00:00Z,34406.007,66905.102
