LON [°E],LAT [°N],TIEFE [KM],MAGNITUDE
7.400000000000000355e+00,4.626299999999999812e+01,9.000000000000000000e+00,1.626988300000000054e+00
7.001999999999999780e+00,4.592099999999999937e+01,7.000000000000000000e+00,1.348076300000000005e+00
7.147999999999999687e+00,4.715999999999999659e+01,8.000000000000000000e+00,2.109489200000000064e+00
9.497999999999999332e+00,4.705799999999999983e+01,7.000000000000000000e+00,2.129771600000000209e+00
7.839999999999999858e+00,4.569200000000000017e+01,4.000000000000000000e+00,2.438164899999999857e+00
9.778000000000000469e+00,4.646000000000000085e+01,6.000000000000000000e+00,1.171722900000000012e+00
9.487000000000000099e+00,4.706700000000000017e+01,7.000000000000000000e+00,1.062675000000000036e+00
7.155000000000000249e+00,4.715400000000000347e+01,1.000000000000000000e+01,1.271226799999999990e+00
7.152999999999999581e+00,4.715500000000000114e+01,9.000000000000000000e+00,1.651627799999999979e+00
9.494999999999999218e+00,4.706300000000000239e+01,7.000000000000000000e+00,1.558345599999999997e+00
8.160000000000000142e+00,4.628699999999999903e+01,4.000000000000000000e+00,5.908188899999999855e-01
7.068999999999999950e+00,4.575200000000000244e+01,5.000000000000000000e+00,1.085755599999999932e+00
7.288000000000000256e+00,4.632200000000000273e+01,3.000000000000000000e+00,8.080865200000000304e-01
1.080700000000000038e+01,4.667799999999999727e+01,1.000000000000000000e+01,2.163982299999999803e+00
7.153999999999999915e+00,4.714800000000000324e+01,6.000000000000000000e+00,1.270407999999999982e+00
7.214999999999999858e+00,4.627400000000000091e+01,1.000000000000000000e+00,8.938851300000000277e-01
7.948000000000000398e+00,4.596399999999999864e+01,8.000000000000000000e+00,9.498389000000000415e-01
9.487000000000000099e+00,4.705799999999999983e+01,7.000000000000000000e+00,2.399577199999999966e+00
1.080300000000000082e+01,4.668099999999999739e+01,1.000000000000000000e+01,1.117517300000000047e+00
7.141000000000000014e+00,4.717000000000000171e+01,7.000000000000000000e+00,6.462807799999999991e-01
7.689000000000000057e+00,4.590200000000000102e+01,3.000000000000000000e+00,1.176378900000000005e+00
8.746999999999999886e+00,4.771699999999999875e+01,1.800000000000000000e+01,1.228194900000000089e+00
6.027000000000000135e+00,4.543299999999999983e+01,0.000000000000000000e+00,2.466765500000000166e+00
7.144999999999999574e+00,4.715599999999999881e+01,1.000000000000000000e+01,1.184432499999999999e+00
7.520999999999999908e+00,4.631099999999999994e+01,6.000000000000000000e+00,1.410851599999999983e+00
8.105999999999999872e+00,4.757900000000000063e+01,1.700000000000000000e+01,1.245101800000000036e+00
7.145999999999999908e+00,4.715500000000000114e+01,1.000000000000000000e+01,1.158425999999999956e+00
7.403999999999999915e+00,4.626400000000000290e+01,8.000000000000000000e+00,9.371852400000000305e-01
6.871999999999999886e+00,4.603699999999999903e+01,4.000000000000000000e+00,1.001926799999999895e+00
6.871000000000000441e+00,4.603600000000000136e+01,4.000000000000000000e+00,7.345015599999999978e-01
7.150999999999999801e+00,4.715899999999999892e+01,9.000000000000000000e+00,1.864416000000000073e+00
7.759000000000000341e+00,4.592699999999999960e+01,2.000000000000000000e+00,8.772413599999999700e-01
6.838000000000000078e+00,4.629099999999999682e+01,-1.000000000000000000e+00,9.267580699999999894e-01
7.804999999999999716e+00,4.753900000000000148e+01,2.000000000000000000e+01,1.516642700000000010e+00
7.761000000000000121e+00,4.593999999999999773e+01,2.000000000000000000e+00,1.017643099999999912e+00
7.756999999999999673e+00,4.592600000000000193e+01,2.000000000000000000e+00,1.078038100000000110e+00
6.397999999999999687e+00,4.635699999999999932e+01,0.000000000000000000e+00,1.636783899999999958e+00
7.759000000000000341e+00,4.592600000000000193e+01,2.000000000000000000e+00,1.309927000000000064e+00
8.582000000000000739e+00,4.640999999999999659e+01,1.300000000000000000e+01,1.002606300000000061e+00
7.498000000000000220e+00,4.634700000000000131e+01,7.000000000000000000e+00,9.418118100000000270e-01
