Longitude,Latitude
9.466390,46.380600
9.461660,46.381900
9.458610,46.384700
9.456670,46.387800
9.458880,46.391100
9.462230,46.393600
9.464440,46.396900
9.465280,46.400800
9.464730,46.405000
9.462780,46.408300
9.461110,46.411400
9.458340,46.414500
9.456670,46.417500
9.454170,46.420300
9.452220,46.423600
9.450280,46.426700
9.451120,46.430800
9.451940,46.435000
9.453600,46.438600
9.454990,46.442200
9.455830,46.446400
9.455280,46.450600
9.455560,46.455000
9.454990,46.459200
9.454440,46.463300
9.454720,46.467800
9.454990,46.472500
9.455830,46.476400
9.456670,46.480600
9.457500,46.484700
9.457500,46.489200
9.459170,46.492800
9.460000,46.496900
9.461390,46.500600
9.460840,46.504700
9.459170,46.508000
9.454440,46.509400
9.450550,46.507800
9.447780,46.505000
9.445000,46.502200
9.441380,46.500000
9.437510,46.498300
9.432230,46.497500
9.428060,46.495800
9.424720,46.493300
9.423060,46.490000
9.422220,46.485800
9.420830,46.482200
9.418620,46.479200
9.415840,46.476400
9.412500,46.474200
9.407780,46.472800
9.401940,46.473300
9.398060,46.475300
9.394170,46.477800
9.390830,46.480000
9.386940,46.481900
9.383890,46.484400
9.379720,46.486100
9.375280,46.487800
9.371390,46.489700
9.368890,46.492500
9.371660,46.494700
9.373620,46.498300
9.376390,46.500800
9.375830,46.505000
9.372780,46.507500
9.367500,46.508300
9.360830,46.508300
9.356120,46.507000
9.351380,46.505600
9.346670,46.504700
9.342780,46.503100
9.338050,46.502500
9.331400,46.502800
9.326120,46.503600
9.320840,46.504700
9.315010,46.504700
9.308890,46.504400
9.302220,46.504700
9.296940,46.503900
9.292770,46.501900
9.288880,46.500300
9.285280,46.498100
9.281940,46.495800
9.279160,46.493000
9.276390,46.490600
9.273610,46.487800
9.272220,46.483900
9.273330,46.480600
9.273880,46.476400
9.274450,46.472200
9.273610,46.468100
9.271380,46.465000
9.268890,46.462200
9.265280,46.460000
9.261950,46.457800
9.257770,46.456100
9.254440,46.453900
9.251670,46.451100
9.249730,46.448100
9.249440,46.444400
9.250000,46.440300
9.251120,46.436700
9.253060,46.433300
9.256950,46.431400
9.262230,46.430500
9.267510,46.429400
9.272790,46.428300
9.276660,46.426400
9.279160,46.424700
9.277230,46.425600
9.280550,46.423300
9.282220,46.420000
9.281670,46.415800
9.280830,46.411700
9.280000,46.407800
9.279160,46.403600
9.278890,46.399200
9.278050,46.395000
9.277780,46.390300
9.277780,46.386700
9.278340,46.382500
9.277500,46.378600
9.276660,46.374400
9.276390,46.370800
9.277780,46.366900
9.280830,46.364400
9.284720,46.362800
9.288610,46.360800
9.291950,46.358600
9.295000,46.356100
9.296940,46.353100
9.297510,46.348900
9.296670,46.344700
9.295280,46.341100
9.292500,46.338300
9.289720,46.335800
9.288880,46.332500
9.291390,46.329700
9.293340,46.326400
9.291950,46.323000
9.288330,46.320800
9.285560,46.318100
9.282780,46.315300
9.280280,46.312500
9.278610,46.308600
9.277230,46.305300
9.277780,46.301400
9.277500,46.296400
9.276660,46.292500
9.274720,46.289400
9.271950,46.286700
9.269170,46.284200
9.265830,46.281900
9.263050,46.279200
9.260270,46.276400
9.257500,46.273900
9.255280,46.270600
9.253330,46.267500
9.251940,46.263900
9.250280,46.260300
9.248890,46.256700
9.247500,46.252800
9.245840,46.248900
9.245000,46.244700
9.244450,46.240600
9.243610,46.236700
9.241380,46.233300
9.238610,46.230500
9.234730,46.228900
9.230000,46.227800
9.225280,46.226400
9.220550,46.225000
9.217780,46.222500
9.215000,46.219700
9.212220,46.216900
9.206940,46.216100
9.201660,46.215300
9.198340,46.213100
9.196110,46.210000
9.194720,46.206400
9.193900,46.202200
9.193060,46.198100
9.192220,46.194200
9.191670,46.190000
9.189440,46.186700
9.186660,46.184200
9.183340,46.181900
9.180560,46.179200
9.177220,46.176900
9.172500,46.175600
9.167770,46.174400
9.163060,46.173100
9.158620,46.171700
9.153340,46.170800
9.148610,46.169700
9.144440,46.168100
9.141120,46.165800
9.139160,46.164700
9.135840,46.162500
9.132220,46.160300
9.129720,46.157800
9.126940,46.155000
9.123610,46.152800
9.120840,46.150000
9.118060,46.147200
9.115280,46.144700
9.112500,46.141900
9.109160,46.139700
9.106390,46.136900
9.103060,46.134700
9.099720,46.132500
9.096390,46.130300
9.093050,46.128100
9.089450,46.125800
9.086110,46.123600
9.083330,46.121100
9.081390,46.117800
9.080000,46.114200
9.080550,46.110000
9.081670,46.106100
9.082780,46.102800
9.084720,46.099400
9.085830,46.095800
9.087790,46.092500
9.088880,46.088600
9.088060,46.084400
9.086670,46.081100
9.084440,46.078000
9.082510,46.074700
9.080280,46.071700
9.077780,46.068900
9.075000,46.066400
9.070280,46.065000
9.065550,46.063600
9.060270,46.062800
9.055560,46.061400
9.050280,46.060800
9.045000,46.060000
9.040280,46.058600
9.035830,46.057200
9.031660,46.055600
9.027770,46.053900
9.023610,46.051900
9.020280,46.049700
9.016390,46.047800
9.013610,46.045000
9.011380,46.042200
9.009450,46.039200
