JAHR,GLOBAL,NORD,SUED
1.907000000000000000e+03,-5.040000000000000036e-01,-5.370000000000000329e-01,-4.719999999999999751e-01
1.908000000000000000e+03,-5.140000000000000124e-01,-4.779999999999999805e-01,-5.500000000000000444e-01
1.909000000000000000e+03,-5.360000000000000320e-01,-4.939999999999999947e-01,-5.779999999999999583e-01
1.910000000000000000e+03,-5.310000000000000275e-01,-4.909999999999999920e-01,-5.709999999999999520e-01
1.911000000000000000e+03,-5.390000000000000346e-01,-4.530000000000000138e-01,-6.250000000000000000e-01
1.912000000000000000e+03,-4.759999999999999787e-01,-5.300000000000000266e-01,-4.209999999999999853e-01
1.913000000000000000e+03,-4.670000000000000262e-01,-4.949999999999999956e-01,-4.400000000000000022e-01
1.914000000000000000e+03,-2.630000000000000115e-01,-2.690000000000000169e-01,-2.560000000000000053e-01
1.915000000000000000e+03,-1.920000000000000040e-01,-1.759999999999999898e-01,-2.079999999999999905e-01
1.916000000000000000e+03,-4.199999999999999845e-01,-4.430000000000000049e-01,-3.970000000000000195e-01
1.917000000000000000e+03,-5.430000000000000382e-01,-5.849999999999999645e-01,-5.020000000000000018e-01
1.918000000000000000e+03,-4.249999999999999889e-01,-4.689999999999999725e-01,-3.800000000000000044e-01
1.919000000000000000e+03,-3.260000000000000120e-01,-3.719999999999999973e-01,-2.790000000000000258e-01
1.920000000000000000e+03,-2.989999999999999880e-01,-3.089999999999999969e-01,-2.879999999999999782e-01
1.921000000000000000e+03,-2.409999999999999920e-01,-1.630000000000000060e-01,-3.180000000000000049e-01
1.922000000000000000e+03,-3.390000000000000235e-01,-3.029999999999999916e-01,-3.760000000000000009e-01
1.923000000000000000e+03,-3.180000000000000049e-01,-2.550000000000000044e-01,-3.810000000000000053e-01
1.924000000000000000e+03,-3.119999999999999996e-01,-1.930000000000000049e-01,-4.309999999999999942e-01
1.925000000000000000e+03,-2.819999999999999729e-01,-1.690000000000000113e-01,-3.960000000000000187e-01
1.926000000000000000e+03,-1.229999999999999982e-01,-2.000000000000000042e-03,-2.439999999999999947e-01
1.927000000000000000e+03,-2.290000000000000091e-01,-1.069999999999999979e-01,-3.519999999999999796e-01
1.928000000000000000e+03,-2.069999999999999896e-01,-8.699999999999999400e-02,-3.260000000000000120e-01
1.929000000000000000e+03,-3.930000000000000160e-01,-3.370000000000000218e-01,-4.490000000000000102e-01
1.930000000000000000e+03,-1.769999999999999907e-01,-2.999999999999999889e-02,-3.240000000000000102e-01
1.931000000000000000e+03,-1.029999999999999943e-01,4.599999999999999922e-02,-2.530000000000000027e-01
1.932000000000000000e+03,-1.449999999999999900e-01,-3.699999999999999817e-02,-2.530000000000000027e-01
1.933000000000000000e+03,-3.220000000000000084e-01,-2.650000000000000133e-01,-3.800000000000000044e-01
1.934000000000000000e+03,-1.739999999999999880e-01,-5.299999999999999850e-02,-2.949999999999999845e-01
1.935000000000000000e+03,-2.059999999999999887e-01,-8.699999999999999400e-02,-3.260000000000000120e-01
1.936000000000000000e+03,-1.700000000000000122e-01,-6.099999999999999867e-02,-2.780000000000000249e-01
1.937000000000000000e+03,-1.899999999999999953e-02,1.219999999999999973e-01,-1.600000000000000033e-01
1.938000000000000000e+03,-1.200000000000000025e-02,1.590000000000000024e-01,-1.839999999999999969e-01
1.939000000000000000e+03,-4.100000000000000172e-02,5.299999999999999850e-02,-1.350000000000000089e-01
1.940000000000000000e+03,7.599999999999999811e-02,1.219999999999999973e-01,2.999999999999999889e-02
1.941000000000000000e+03,3.799999999999999906e-02,7.499999999999999722e-02,1.000000000000000021e-03
1.942000000000000000e+03,1.000000000000000021e-03,5.999999999999999778e-02,-5.700000000000000205e-02
1.943000000000000000e+03,6.000000000000000125e-03,1.120000000000000023e-01,-1.000000000000000056e-01
1.944000000000000000e+03,1.439999999999999891e-01,2.200000000000000011e-01,6.800000000000000488e-02
1.945000000000000000e+03,4.299999999999999656e-02,8.400000000000000522e-02,3.000000000000000062e-03
1.946000000000000000e+03,-1.189999999999999947e-01,-1.099999999999999936e-02,-2.260000000000000064e-01
1.947000000000000000e+03,-9.099999999999999756e-02,4.399999999999999745e-02,-2.270000000000000073e-01
1.948000000000000000e+03,-1.250000000000000000e-01,-1.000000000000000021e-03,-2.489999999999999991e-01
1.949000000000000000e+03,-1.439999999999999891e-01,-6.800000000000000488e-02,-2.200000000000000011e-01
1.950000000000000000e+03,-2.270000000000000073e-01,-1.910000000000000031e-01,-2.620000000000000107e-01
1.951000000000000000e+03,-6.099999999999999867e-02,5.399999999999999939e-02,-1.759999999999999898e-01
1.952000000000000000e+03,1.499999999999999944e-02,7.000000000000000666e-02,-3.899999999999999994e-02
1.953000000000000000e+03,7.799999999999999989e-02,2.069999999999999896e-01,-5.099999999999999672e-02
1.954000000000000000e+03,-1.170000000000000068e-01,-3.099999999999999978e-02,-2.020000000000000129e-01
1.955000000000000000e+03,-1.970000000000000084e-01,-1.260000000000000009e-01,-2.690000000000000169e-01
1.956000000000000000e+03,-2.630000000000000115e-01,-2.790000000000000258e-01,-2.469999999999999973e-01
1.957000000000000000e+03,-3.500000000000000333e-02,-3.599999999999999728e-02,-3.500000000000000333e-02
1.958000000000000000e+03,-1.799999999999999864e-02,8.300000000000000433e-02,-1.179999999999999938e-01
1.959000000000000000e+03,-4.800000000000000100e-02,4.700000000000000011e-02,-1.429999999999999882e-01
1.960000000000000000e+03,-1.150000000000000050e-01,0.000000000000000000e+00,-2.310000000000000109e-01
1.961000000000000000e+03,-2.000000000000000042e-02,-7.000000000000000146e-03,-3.300000000000000155e-02
1.962000000000000000e+03,-6.400000000000000133e-02,4.800000000000000100e-02,-1.759999999999999898e-01
1.963000000000000000e+03,-3.699999999999999817e-02,7.000000000000000666e-02,-1.439999999999999891e-01
1.964000000000000000e+03,-3.059999999999999942e-01,-2.610000000000000098e-01,-3.509999999999999787e-01
1.965000000000000000e+03,-2.039999999999999869e-01,-1.950000000000000067e-01,-2.139999999999999958e-01
1.966000000000000000e+03,-1.489999999999999936e-01,-8.899999999999999578e-02,-2.089999999999999913e-01
1.967000000000000000e+03,-1.179999999999999938e-01,-3.899999999999999994e-02,-1.960000000000000075e-01
1.968000000000000000e+03,-1.690000000000000113e-01,-1.390000000000000124e-01,-1.980000000000000093e-01
1.969000000000000000e+03,-3.099999999999999978e-02,-1.000000000000000056e-01,3.799999999999999906e-02
1.970000000000000000e+03,-8.500000000000000611e-02,-1.219999999999999973e-01,-4.800000000000000100e-02
1.971000000000000000e+03,-2.059999999999999887e-01,-2.290000000000000091e-01,-1.829999999999999960e-01
1.972000000000000000e+03,-9.400000000000000022e-02,-2.500000000000000000e-01,6.199999999999999956e-02
1.973000000000000000e+03,5.000000000000000278e-02,2.199999999999999872e-02,7.799999999999999989e-02
1.974000000000000000e+03,-1.729999999999999871e-01,-2.500000000000000000e-01,-9.500000000000000111e-02
1.975000000000000000e+03,-1.110000000000000014e-01,-1.110000000000000014e-01,-1.110000000000000014e-01
1.976000000000000000e+03,-2.159999999999999976e-01,-2.520000000000000018e-01,-1.799999999999999933e-01
1.977000000000000000e+03,1.029999999999999943e-01,7.900000000000000078e-02,1.270000000000000018e-01
1.978000000000000000e+03,5.000000000000000104e-03,-1.200000000000000025e-02,2.199999999999999872e-02
1.979000000000000000e+03,9.099999999999999756e-02,3.099999999999999978e-02,1.509999999999999953e-01
1.980000000000000000e+03,1.960000000000000075e-01,1.390000000000000124e-01,2.530000000000000027e-01
1.981000000000000000e+03,2.500000000000000000e-01,3.400000000000000244e-01,1.600000000000000033e-01
1.982000000000000000e+03,3.400000000000000244e-02,-1.000000000000000021e-02,7.799999999999999989e-02
1.983000000000000000e+03,2.240000000000000047e-01,1.920000000000000040e-01,2.550000000000000044e-01
1.984000000000000000e+03,4.800000000000000100e-02,-2.999999999999999889e-02,1.260000000000000009e-01
1.985000000000000000e+03,5.000000000000000278e-02,-5.199999999999999761e-02,1.509999999999999953e-01
1.986000000000000000e+03,9.600000000000000200e-02,6.199999999999999956e-02,1.290000000000000036e-01
1.987000000000000000e+03,2.429999999999999938e-01,1.960000000000000075e-01,2.899999999999999800e-01
1.988000000000000000e+03,2.819999999999999729e-01,3.160000000000000031e-01,2.489999999999999991e-01
1.989000000000000000e+03,1.789999999999999925e-01,2.169999999999999984e-01,1.409999999999999865e-01
1.990000000000000000e+03,3.609999999999999876e-01,4.640000000000000235e-01,2.570000000000000062e-01
1.991000000000000000e+03,3.390000000000000235e-01,3.850000000000000089e-01,2.929999999999999827e-01
1.992000000000000000e+03,1.250000000000000000e-01,9.700000000000000289e-02,1.529999999999999971e-01
1.993000000000000000e+03,1.660000000000000087e-01,1.920000000000000040e-01,1.390000000000000124e-01
1.994000000000000000e+03,2.340000000000000135e-01,3.230000000000000093e-01,1.439999999999999891e-01
1.995000000000000000e+03,3.770000000000000018e-01,5.689999999999999503e-01,1.849999999999999978e-01
1.996000000000000000e+03,2.770000000000000240e-01,2.919999999999999818e-01,2.620000000000000107e-01
1.997000000000000000e+03,4.219999999999999862e-01,5.350000000000000311e-01,3.099999999999999978e-01
1.998000000000000000e+03,5.769999999999999574e-01,7.139999999999999680e-01,4.400000000000000022e-01
1.999000000000000000e+03,3.240000000000000102e-01,4.759999999999999787e-01,1.729999999999999871e-01
2.000000000000000000e+03,3.310000000000000164e-01,4.869999999999999885e-01,1.749999999999999889e-01
2.001000000000000000e+03,4.889999999999999902e-01,6.280000000000000027e-01,3.499999999999999778e-01
2.002000000000000000e+03,5.430000000000000382e-01,6.690000000000000391e-01,4.179999999999999827e-01
2.003000000000000000e+03,5.440000000000000391e-01,7.199999999999999734e-01,3.679999999999999938e-01
2.004000000000000000e+03,4.670000000000000262e-01,6.330000000000000071e-01,3.009999999999999898e-01
2.005000000000000000e+03,6.069999999999999840e-01,8.309999999999999609e-01,3.820000000000000062e-01
2.006000000000000000e+03,5.729999999999999538e-01,7.950000000000000400e-01,3.499999999999999778e-01
2.007000000000000000e+03,5.919999999999999707e-01,8.319999999999999618e-01,3.509999999999999787e-01
2.008000000000000000e+03,4.660000000000000253e-01,6.720000000000000417e-01,2.600000000000000089e-01
2.009000000000000000e+03,5.969999999999999751e-01,7.069999999999999618e-01,4.869999999999999885e-01
2.010000000000000000e+03,6.800000000000000488e-01,9.190000000000000391e-01,4.410000000000000031e-01
2.011000000000000000e+03,5.380000000000000338e-01,7.249999999999999778e-01,3.499999999999999778e-01
2.012000000000000000e+03,5.779999999999999583e-01,7.840000000000000302e-01,3.709999999999999964e-01
2.013000000000000000e+03,6.239999999999999991e-01,7.770000000000000240e-01,4.699999999999999734e-01
2.014000000000000000e+03,6.730000000000000426e-01,9.080000000000000293e-01,4.380000000000000004e-01
2.015000000000000000e+03,8.249999999999999556e-01,1.131000000000000005e+00,5.190000000000000169e-01
2.016000000000000000e+03,9.330000000000000515e-01,1.254999999999999893e+00,6.109999999999999876e-01
2.017000000000000000e+03,8.449999999999999734e-01,1.114999999999999991e+00,5.749999999999999556e-01
2.018000000000000000e+03,7.630000000000000115e-01,9.599999999999999645e-01,5.659999999999999476e-01
2.019000000000000000e+03,8.910000000000000142e-01,1.143999999999999906e+00,6.380000000000000115e-01
2.020000000000000000e+03,9.230000000000000426e-01,1.276000000000000023e+00,5.699999999999999512e-01
2.021000000000000000e+03,7.620000000000000107e-01,1.078000000000000069e+00,4.460000000000000075e-01
